ddinter_drug_name
Doxepin (topical)
Doxercalciferol
Doxorubicin
Doxorubicin (liposomal)
Doxycycline
Doxylamine
Dronabinol
Dronedarone
Droperidol
Drospirenone
Drotrecogin alfa
Droxidopa
Dulaglutide
Duloxetine
Dupilumab
Durvalumab
Dutasteride
Duvelisib
Dyphylline
Echinacea
Econazole (topical)
Edoxaban
Efalizumab
Efavirenz
Elagolix
Elbasvir
Eletriptan
Elexacaftor
Eliglustat
Eltrombopag
Eluxadoline
Elvitegravir
Emapalumab
Emicizumab
Empagliflozin
Enalapril
Enasidenib
Encorafenib
Enflurane
Enoxacin
Enoxaparin
Entacapone
Entecavir
Entrectinib
Enzalutamide
Ephedrine
Ephedrine (nasal)
Epinephrine
Epinephrine (ophthalmic)
Epinephrine (topical)
Epirubicin
Eplerenone
Epoprostenol
Eprosartan
Eptifibatide
Eravacycline
Erdafitinib
Ergocalciferol
Ergometrine
Ergotamine
Eribulin
Erlotinib
Ertugliflozin
Erythromycin
Erythropoietin
Escitalopram
Eslicarbazepine
Esmolol
Esomeprazole
Estazolam
Esterified estrogens
Estradiol
Estradiol (topical)
Estramustine
Estrone
Estrone sulfate
Estrone sulfate (topical)
Eszopiclone
Etacrynic acid
Etanercept
Ethanol
Ethchlorvynol
Ethinylestradiol
Ethosuximide
Ethotoin
Etidocaine
Etidronic acid
Etodolac
Etonogestrel
Etoposide
Etravirine
Everolimus
Exemestane
Exenatide
Ezetimibe
Ezogabine
Factor IX Complex (Human)
Famotidine
Fedratinib
Felbamate
Felodipine
Fenfluramine
Fenofibrate
Fenofibric acid
Fenoldopam
Fenoprofen
Fentanyl
Ferric carboxymaltose
Ferric derisomaltose
Ferrous fumarate
Ferrous gluconate
Ferrous sulfate anhydrous
Ferumoxytol
Fesoterodine
Fexofenadine
Fibrinogen human
Fidaxomicin
Finasteride
Fingolimod
Flavoxate
Flecainide
Flibanserin
Fluconazole
Flucytosine
Fludarabine
Fludeoxyglucose (18F)
Fludrocortisone
Fluorouracil
Fluoxetine
Fluoxymesterone
Fluphenazine
Flurazepam
Flurbiprofen
Flurbiprofen (ophthalmic)
Flutamide
Fluticasone
Fluvastatin
Fluvoxamine
Folic acid
Fondaparinux
Formoterol
Fosamprenavir
Fosaprepitant
Foscarnet
Fosinopril
Fosnetupitant
Fosphenytoin
Fostamatinib
Fostemsavir
Frangula purshiana bark
Furosemide
Galantamine
Gallium chloride Ga-67
Gallium nitrate
Garlic
Gatifloxacin
Gefitinib
Gemcitabine
Gemfibrozil
Gemifloxacin
Gentamicin
Gentamicin (topical)
Gilteritinib
Ginger
Ginkgo biloba
Ginseng
Givosiran
Glasdegib
Glecaprevir
Glimepiride
Glipizide
Glucagon
Glucosamine
Glyburide
Glycerin
Glycerol phenylbutyrate
Glycopyrronium
Goldenseal
Golimumab
Goserelin
Granisetron
Grazoprevir
Grepafloxacin
Griseofulvin
Guanabenz
Guanadrel
Guanethidine
Guanfacine
Guselkumab
Halazepam
Halofantrine
Haloperidol
Halothane
Hemin
Heparin
Heparin (flush)
Histrelin
Homatropine
Human C1-esterase inhibitor
Human Rho(D) immune globulin
Human botulinum neurotoxin A/B immune globulin
Human cytomegalovirus immune globulin
Human immunoglobulin G (intravenous and subcutaneous)
Human immunoglobulin G (intravenous)
Hyaluronic acid
Hyaluronidase
Hydralazine
Hydrochlorothiazide
Hydrocodone
Hydrocortisone
Hydroflumethiazide
Hydromorphone
Hydroxocobalamin
Hydroxychloroquine
Hydroxyzine
Hyoscyamine
Ibandronate
Ibritumomab tiuxetan
Ibrutinib
Ibuprofen
Ibutilide
Icatibant
Icosapent
Idarubicin
Idelalisib
Ifosfamide
Iloperidone
Iloprost
Imatinib
Imipenem
Imipramine
Indacaterol
Indapamide
Indinavir
Indium In-111 oxyquinoline
Indomethacin
Inebilizumab
Infliximab
Inotersen
Inotuzumab ozogamicin
Insulin aspart (aspart protamine)
Insulin aspart (aspart)
Insulin degludec
Insulin detemir
Insulin glargine
Insulin glulisine
Insulin human
"Insulin human (inhalation, rapid acting)"
Insulin human (isophane)
Insulin human (regular)
Insulin human (zinc extended)
Insulin human (zinc)
Insulin lispro
Insulin lispro (protamine)
"Interferon alfa-2a, Recombinant"
Interferon alfa-2b
Interferon alfa-n1
Interferon alfa-n3
Interferon alfacon-1
Interferon beta-1a
Interferon beta-1b
Interferon gamma-1b
Iodide I-123
Iodide I-131
Iodipamide
Iodixanol
Iohexol
Iopamidol
Iopromide
Iothalamic acid
Ioversol
Ioxilan
Ipilimumab
Irbesartan
Irinotecan
Irinotecan (liposomal)
Iron
Iron Dextran
Iron protein succinylate
Iron sucrose
Isavuconazonium
Isocarboxazid
Isoetharine
Isoflurane
Isoniazid
Isoprenaline
Isosorbide
Isosorbide dinitrate
Isosorbide mononitrate
Isotretinoin
Isoxsuprine
Isradipine
Istradefylline
Itraconazole
Ivabradine
Ivacaftor
Ivermectin
Ivosidenib
Ixabepilone
Ixazomib
Ixekizumab
Kanamycin
Kaolin
Ketamine
Ketoconazole
Ketoprofen
Ketorolac
Ketorolac (ophthalmic)
Labetalol
Lactic acid
Lactitol
Lactobacillus acidophilus
Lactulose
Lamivudine
Lamotrigine
Lansoprazole
Lanthanum carbonate
Lapatinib
Larotrectinib
Lasmiditan
Ledipasvir
Lefamulin
Leflunomide
Lemborexant
Lenalidomide
Lenvatinib
Lepirudin
Lesinurad
Letermovir
Letrozole
Leuprolide
Levacetylmethadol
Levamisole
Levamlodipine
Levobetaxolol (ophthalmic)
Levobunolol (ophthalmic)
Levobupivacaine
Levocarnitine
Levocetirizine
Levodopa
Levofloxacin
Levomilnacipran
Levonorgestrel
Levorphanol
Levosalbutamol
Levothyroxine
Licorice
Lidocaine
Lidocaine (ophthalmic)
Lidocaine (topical)
Linaclotide
Linagliptin
Linezolid
Liothyronine
Liotrix
Liraglutide
Lisdexamfetamine
Lisinopril
Lithium carbonate
Lixisenatide
Lofexidine
Lomefloxacin
Lomitapide
Lonafarnib
Loperamide
Lopinavir
Loracarbef
Loratadine
Lorazepam
Lorlatinib
Losartan
Lovastatin
Loxapine
Lumacaftor
Lumateperone
Lumefantrine
Lurasidone
Lurbinectedin
Lusutrombopag
Macimorelin
Macitentan
Magaldrate
Magnesium carbonate
Magnesium chloride
Magnesium citrate
Magnesium gluconate
Magnesium glycinate
Magnesium hydroxide
Magnesium oxide
Magnesium sulfate
Mannitol
Maprotiline
Maraviroc
Mazindol
Mecamylamine
Mechlorethamine
Meclizine
Meclofenamic acid
Mecobalamin
Medroxyprogesterone acetate
Mefenamic acid
Mefloquine
Megestrol acetate
Melatonin
Meloxicam
Melphalan
Melphalan flufenamide
Memantine
Mepenzolate
Meperidine
Mephenytoin
Mepivacaine
Mepyramine
Mercaptopurine
Mesalazine
Mesoridazine
Mestranol
Metamfetamine
Metformin
Methadone
Methazolamide
Methdilazine
Methenamine
Methimazole
Methohexital
Methotrexate
Methotrimeprazine
Methoxsalen
Methoxyflurane
Methscopolamine
Methsuximide
Methyl aminolevulinate (topical)
Methyl salicylate (topical)
Methyldopa
Methylene blue
Methylergometrine
Methylphenidate
Methylphenobarbital
Methylprednisolone
Methyltestosterone
Methysergide
Meticillin
Metipranolol (ophthalmic)
Metoclopramide
Metocurine
Metolazone
Metoprolol
Metreleptin
Metronidazole
Metronidazole (topical)
Mexiletine
Mezlocillin
Miconazole
Miconazole (topical)
Midazolam
Midodrine
Midostaurin
Mifepristone
Miglitol
Milnacipran
Mineral oil
Minocycline
Minoxidil
Minoxidil (topical)
Mipomersen
Mirabegron
Mirtazapine
Misoprostol
Mitomycin
Mitotane
Mitoxantrone
Mivacurium
Modafinil
Moexipril
Mogamulizumab
Molindone
Montelukast
Moricizine
Morphine
Moxifloxacin
Muromonab
Mycophenolate mofetil
Mycophenolic acid
Nabumetone
Nadolol
Nafcillin
Nalbuphine
Naldemedine
Nalidixic acid
Naloxegol
Naltrexone
Naproxen
Natalizumab
Nateglinide
Naxitamab
Nebivolol
Nefazodone
Nelfinavir
Neomycin
Neomycin (topical)
Neostigmine
Nepafenac (ophthalmic)
Neratinib
Nesiritide
Netilmicin
Netupitant
Nevirapine
Niacin
Nicardipine
Nifedipine
Nilotinib
Nilutamide
Nimodipine
Nintedanib
Niraparib
Nisoldipine
Nitazoxanide
Nitisinone
Nitroglycerin
Nitroprusside
Nitrous acid
Nizatidine
Norethisterone
Norfloxacin
Norgestrel
Nortriptyline
Obeticholic acid
Ocrelizumab
Ofloxacin
Olanzapine
Olaparib
Oliceridine
Olmesartan
Olodaterol
Olsalazine
Omacetaxine mepesuccinate
Omadacycline
Omalizumab
Omega-3 fatty acids
Omeprazole
Ondansetron
Opicapone
Opium
Orciprenaline
Oritavancin
Orlistat
Orphenadrine
Oseltamivir
Osilodrostat
Osimertinib
Ospemifene
Oxacillin
Oxaliplatin
Oxandrolone
Oxaprozin
Oxazepam
Oxcarbazepine
Oxtriphylline
Oxybuprocaine (ophthalmic)
Oxybutynin
Oxycodone
Oxymetholone
Oxymorphone
Oxytetracycline
Oxytocin
Ozanimod
Paclitaxel
Paclitaxel (protein-bound)
Palbociclib
Palifermin
Paliperidone
Palonosetron
Pamidronic acid
Pancrelipase
Pancuronium
Panobinostat
Pantoprazole
Papaverine
Papaya
Paraldehyde
Paricalcitol
Paroxetine
Pasireotide
Patiromer
Pazopanib
Pegaspargase
Peginesatide
Peginterferon alfa-2a
Peginterferon alfa-2b
Peginterferon beta-1a
Pegvaliase
Pemetrexed
Penbutolol
Penicillamine
Pentamidine
Pentazocine
Pentobarbital
Pentosan polysulfate
Pentoxifylline
Perflutren
Perindopril
Perphenazine
Pexidartinib
Phendimetrazine
Phenelzine
Phenindamine
Phenobarbital
Phenolphthalein
Phenoxybenzamine
Phenoxymethylpenicillin
Phensuximide
Phentermine
Phentolamine
Phenyl salicylate
Phenylbutazone
Phenylephrine
Phenylpropanolamine
Phenyltoloxamine
Phenytoin
Phylloquinone
Picosulfuric acid
Pimavanserin
Pimecrolimus (topical)
Pimozide
Pindolol
Pioglitazone
Pipecuronium
Piperacillin
Pirbuterol
Pirfenidone
Piroxicam
Pitavastatin
Pitolisant
Plazomicin
Plicamycin
Polatuzumab vedotin
Polyethylene glycol (3350 with electrolytes)
Polyethylene glycol (3350)
Polymyxin B
Polythiazide
Pomalidomide
Ponatinib
Porfimer sodium
Posaconazole
Potassium acetate
Potassium chloride
Potassium citrate
Pralatrexate
Pralsetinib
Pramlintide
Prasterone enantate
Prasugrel
Pravastatin
Praziquantel
Prazosin
Prednisolone
Prednisone
Prilocaine
Prilocaine (topiclal)
Primaquine
Primidone
Probenecid
Probucol
Procainamide
Procaine
Procarbazine
Prochlorperazine
Procyclidine
Progesterone
Progesterone (topical)
Proguanil
Promazine
Promethazine
Propafenone
Propantheline
Proparacaine (ophthalmic)
Propiomazine
Propofol
Propranolol
Propylthiouracil
Protein C
Protriptyline
Prucalopride
Pseudoephedrine
Pyridostigmine
Pyrimethamine
Pyrophosphoric acid
Quazepam
Quetiapine
Quinapril
Quinestrol
Quinidine
Quinine
Rabeprazole
Racepinephrine
Raloxifene
Raltegravir
Ramelteon
Ramipril
Ramucirumab
Ranitidine
Ranitidine (bismuth citrate)
Ranolazine
Rapacuronium
Rasagiline
Regadenoson
Regorafenib
Relugolix
Remdesivir
Remifentanil
Repaglinide
Reserpine
Retapamulin (topical)
Reteplase
Revefenacin
Ribavirin
Ribociclib
Rifabutin
Rifampicin
Rifapentine
Rifaximin
Rilonacept
Rilpivirine
Rimegepant
Riociguat
Ripretinib
Risankizumab
Risedronic acid
Risperidone
Ritodrine
Ritonavir
Rituximab
Rivaroxaban
Rivastigmine
Rocuronium
Rofecoxib
Roflumilast
Rolapitant
Romidepsin
Romiplostim
Ropinirole
Ropivacaine
Rosiglitazone
Rosuvastatin
Rucaparib
Rufinamide
Ruxolitinib
Sacituzumab govitecan
Safinamide
Salbutamol
Salicylic acid (sodium)
Salmeterol
Salsalate
Saquinavir
Sarecycline
Sarilumab
Satralizumab
Saw palmetto
Saxagliptin
Scopolamine
Secobarbital
Secukinumab
Selegiline
Selenium
Selexipag
Selpercatinib
Selumetinib
Semaglutide
Sertraline
Sevelamer
Sevoflurane
Sibutramine
Sildenafil
Silodosin
Siltuximab
Simeprevir
Simvastatin
Siponimod
Sirolimus
Sitagliptin
Sodium acetate
Sodium bicarbonate
Sodium chloride
Sodium citrate
Sodium ferric gluconate complex
Sodium glycerophosphate
Sodium sulfate
Sofosbuvir
Solifenacin
Solriamfetol
Somapacitan
Somatotropin
Somatrem
Sonidegib
Sorafenib
Sorbitol
Sotalol
Sparfloxacin
Spironolactone
St. John's Wort
Stanozolol
Stiripentol
Streptokinase
Streptomycin
Strontium chloride Sr-89
Succinylcholine
Sucralfate
Sufentanil
Sugammadex
Sulfadiazine
Sulfadoxine
Sulfamethizole
Sulfamethoxazole
Sulfasalazine
Sulfinpyrazone
Sulfisoxazole
Sulindac
Sunitinib
Suprofen (ophthalmic)
Suvorexant
Tacrine
Tacrolimus
Tadalafil
Tafamidis
Talazoparib
Tamoxifen
Tamsulosin
Tapentadol
Tasimelteon
Tazemetostat
Tedizolid
Telaprevir
Telavancin
Telbivudine
Telithromycin
Telmisartan
Telotristat ethyl
Temazepam
Temsirolimus
Tenecteplase
Teniposide
Terazosin
Terbinafine
Terbutaline
Terfenadine
Teriflunomide
Testolactone
Testosterone
Testosterone (topical)
Tetrabenazine
Tetracaine
Tetracaine (ophthalmic)
Tetracosactide
Tetracycline
Tetraferric tricitrate decahydrate
Thalidomide
Thallous Chloride
Theophylline
Thiethylperazine
Thiopental
Thioridazine
Thiotepa
Thiothixene
"Thyroid, porcine"
Tiagabine
Ticagrelor
Ticarcillin
Ticlopidine
Tigecycline
Tildrakizumab
Tiludronic acid
Timolol
Timolol (ophthalmic)
Tinidazole
Tinzaparin
Tioguanine
Tipranavir
Tirofiban
Tizanidine
Tobramycin
Tocilizumab
Tofacitinib
Tolazamide
Tolazoline
Tolbutamide
Tolcapone
Tolevamer
Tolmetin
Tolterodine
Tolvaptan
Topiramate
Topotecan
Torasemide
Toremifene
Tositumomab
Tositumomab (I-131)
Trabectedin
Tramadol
Trametinib
Trandolapril
Tranexamic acid
Tranylcypromine
Trastuzumab
Trastuzumab emtansine
Trazodone
Treprostinil
Tretinoin
Triamcinolone
Triamcinolone (ophthalmic)
Triamterene
Triazolam
Trichlormethiazide
Triclabendazole
Triethylenetetramine
Trifluoperazine
Triflupromazine
Trihexyphenidyl
Trimethaphan
Trimethoprim
Trimipramine
Tripelennamine
Triprolidine
Triptorelin
Troglitazone
Troleandomycin
Tromethamine
Trospium
Trovafloxacin
Tubocurarine
Tucatinib
Turmeric
Typhoid vaccine (live)
Ubrogepant
Ulipristal
Upadacitinib
Urea
Urokinase
Ustekinumab
Valaciclovir
Valbenazine
Valdecoxib
Valproic acid
Valsartan
Vancomycin
Vandetanib
Vardenafil
Varicella Zoster Vaccine (Recombinant)
Vasopressin
Vecuronium
Vedolizumab
Velpatasvir
Vemurafenib
Venetoclax
Venlafaxine
Verapamil
Verteporfin
Vibrio cholerae CVD 103-HgR strain live antigen (live)
Vilanterol
Vilazodone
Vinblastine
Vincristine
Vincristine (liposome)
Vinorelbine
Vismodegib
Vitamin E
Von Willebrand Factor Human
Vorapaxar
Voriconazole
Vorinostat
Vortioxetine
Voxelotor
Voxilaprevir
Warfarin
Zafirlukast
Zaleplon
Zanubrutinib
Zileuton
Zinc acetate
Zinc chloride
Zinc gluconate
Zinc sulfate
Ziprasidone
Zoledronic acid
Zolpidem
Zonisamide
